"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R37,R20,R6,R5,R4,R3";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";6;"330R";;;
2;"R36,R35,R34,R32,R28,R27,R23,R21,R13";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";9;"1K";;;
3;"R33,R29,R16,R15,R14,R12,R8,R2";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";8;"10K";;;
4;"R31";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"8K";;;
5;"R30";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"1.21R";;;
6;"R26";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"3K";;;
7;"R25";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"5K";;;
8;"R24";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"2R";;;
9;"R22";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"29K4";;;
10;"R19";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"3K2";;;
11;"R18";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"6K";;;
12;"R17";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"10K2";;;
13;"R11,R10";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"5K1";;;
14;"R7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"100K";;;
15;"R1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"0R DNP";;;
16;"C418";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"2.2u";;;
17;"C417,C416,C412,C411,C408,C404,C401,C398,C397,C396,C395,C394,C393,C388,C382,C380,C378,C376,C375,C374,C373,C372,C371,C370,C369,C368,C367,C366,C365,C364,C363,C362,C361,C360,C359,C358,C357,C356,C355,C354,C353,C352,C351,C350,C349,C348,C347,C346,C345,C344,C343,C342,C341,C340,C339,C338,C337,C336,C335,C334,C333,C332,C331,C330,C329,C328,C327,C326,C325,C324,C323,C322,C321,C320,C319,C318,C317,C316,C315,C314,C313,C312,C311,C310,C309,C308,C307,C306,C305,C304,C303,C302,C301,C300,C299,C298,C297,C296,C295,C294,C293,C292,C291,C290,C289,C288,C287,C286,C285,C284,C283,C282,C281,C280,C279,C278,C277,C276,C275,C274,C273,C272,C271,C270,C269,C268,C267,C266,C265,C264,C263,C262,C261,C260,C259,C258,C257,C256,C255,C254,C253,C252,C251,C250,C249,C248,C247,C246,C245,C244,C243,C242,C241,C240,C239,C238,C237,C236,C235,C234,C233,C232,C231,C230,C229,C228,C227,C226,C225,C224,C223,C222,C221,C220,C219,C218,C217,C216,C215,C214,C213,C212,C211,C210,C209,C208,C207,C206,C205,C204,C203,C202,C201,C200,C199,C198,C197,C196,C195,C194,C193,C192,C191,C190,C189,C188,C187,C186,C185,C184,C183,C182,C181,C180,C179,C178,C177,C176,C175,C174,C173,C172,C171,C170,C169,C168,C167,C166,C165,C164,C163,C162,C161,C160,C159,C158,C157,C156,C155,C154,C153,C152,C151,C150,C149,C148,C147,C146,C145,C144,C143,C142,C141,C140,C139,C138,C137,C136,C135,C134,C133,C132,C131,C130,C129,C128,C127,C126,C125,C124,C123,C122,C121,C120,C119,C118,C117,C116,C115,C114,C113,C112,C111,C110,C109,C108,C107,C106,C105,C104,C103,C102,C101,C100,C99,C98,C97,C96,C95,C94,C93,C92,C91,C90,C89,C88,C87,C86,C85,C84,C83,C82,C81,C80,C79,C78,C77,C76,C75,C74,C73,C72,C71,C70,C69,C68,C67,C66,C65,C64,C63,C62,C61,C60,C59,C58,C57,C56,C55,C54,C53,C52,C51,C50,C49,C48,C47,C46,C45,C44,C43,C42,C41,C40,C39,C38,C37,C36,C35,C34,C33,C32,C31,C30,C29,C28,C27,C26,C25,C24,C23,C22,C21,C20,C19,C18,C17,C16,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C3,C2,C1";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";393;"100n";;;
18;"C407";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"47p";;;
19;"C406";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"1n";;;
20;"C405";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10n";;;
21;"U1";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"STM32L081KZUx";;;
22;"C410,C409,C402,C403";"C_0805_2012Metric";4;"4.7u";;;
