Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-37.000000,-16.000000,180.000000,bottom
"C2","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-40.000000,-16.000000,180.000000,bottom
"C3","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-43.000000,-16.000000,180.000000,bottom
"C4","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-46.000000,-16.000000,180.000000,bottom
"C5","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-49.000000,-16.000000,180.000000,bottom
"C6","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-52.000000,-16.000000,180.000000,bottom
"C7","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-55.000000,-16.000000,180.000000,bottom
"C8","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-58.000000,-16.000000,180.000000,bottom
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-61.000000,-16.000000,180.000000,bottom
"C10","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-64.000000,-16.000000,180.000000,bottom
"C11","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-67.000000,-16.000000,180.000000,bottom
"C12","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-70.000000,-16.000000,180.000000,bottom
"C13","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-73.000000,-16.000000,180.000000,bottom
"C14","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-76.000000,-16.000000,180.000000,bottom
"C15","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-79.000000,-16.000000,180.000000,bottom
"C16","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-82.000000,-16.000000,180.000000,bottom
"C17","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-85.000000,-16.000000,180.000000,bottom
"C18","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-88.000000,-16.000000,180.000000,bottom
"C19","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-91.000000,-16.000000,180.000000,bottom
"C20","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-94.000000,-16.000000,180.000000,bottom
"C21","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-97.000000,-16.000000,180.000000,bottom
"C22","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-100.000000,-16.000000,180.000000,bottom
"C23","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-103.000000,-16.000000,180.000000,bottom
"C24","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-106.000000,-16.000000,180.000000,bottom
"C25","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-109.000000,-16.000000,180.000000,bottom
"C26","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-37.000000,-19.000000,180.000000,bottom
"C27","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-40.000000,-19.000000,180.000000,bottom
"C28","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-43.000000,-19.000000,180.000000,bottom
"C29","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-46.000000,-19.000000,180.000000,bottom
"C30","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-49.000000,-19.000000,180.000000,bottom
"C31","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-52.000000,-19.000000,180.000000,bottom
"C32","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-55.000000,-19.000000,180.000000,bottom
