"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D589,D441,D677,D320,D136,D240,D168,D128,D386,D457,D156,D249,D43,D689,D530,D497,D277,D684,D628,D513,D411,D319,D577,D394,D451,D219,D12,D309,D131,D197,D614,D327,D235,D679,D62,D325,D363,D391,D38,D673,D107,D55,D599,D495,D438,D326,D598,D47,D149,D269,D472,D606,D477,D514,D369,D585,D253,D259,D701,D119,D539,D515,D278,D452,D506,D708,D266,D593,D479,D529,D290,D442,D275,D377,D105,D584,D408,D284,D224,D133,D668,D491,D688,D332,D190,D375,D49,D141,D200,D518,D157,D321,D247,D675,D645,D381,D244,D79,D15,D534,D148,D20,D82,D308,D196,D440,D459,D476,D571,D54,D432,D523,D33,D126,D71,D448,D611,D75,D557,D158,D340,D431,D227,D712,D189,D220,D211,D151,D566,D350,D245,D615,D281,D463,D475,D582,D433,D103,D306,D67,D175,D323,D74,D26,D179,D242,D85,D348,D293,D597,D96,D202,D670,D89,D83,D97,D458,D373,D195,D113,D489,D143,D357,D110,D578,D655,D181,D607,D365,D620,D147,D115,D545,D261,D51,D353,D573,D154,D184,D430,D638,D610,D335,D87,D568,D583,D640,D109,D481,D654,D248,D667,D169,D336,D250,D294,D531,D206,D34,D501,D536,D210,D304,D644,D480,D162,D337,D344,D31,D301,D535,D18,D264,D695,D41,D98,D494,D120,D24,D53,D57,D484,D419,D470,D4,D687,D246,D665,D520,D623,D621,D287,D314,D403,D32,D292,D172,D182,D492,D207,D389,D359,D680,D159,D185,D649,D409,D63,D223,D449,D496,D392,D94,D460,D592,D630,D146,D263,D385,D558,D56,D532,D257,D111,D66,D59,D717,D473,D50,D374,D416,D265,D617,D641,D232,D681,D653,D498,D669,D315,D642,D711,D704,D415,D346,D90,D213,D696,D166,D715,D72,D201,D547,D329,D258,D427,D519,D509,D538,D349,D612,D540,D305,D590,D588,D493,D643,D186,D562,D609,D218,D23,D272,D358,D700,D714,D705,D138,D298,D666,D434,D88,D132,D398,D417,D238,D487,D445,D384,D356,D61,D77,D629,D345,D624,D236,D318,D627,D254,D176,D122,D42,D116,D703,D178,D5,D307,D446,D659,D35,D587,D625,D64,D543,D631,D569,D230,D65,D214,D188,D134,D331,D282,D396,D70,D114,D100,D437,D268,D140,D173,D135,D367,D527,D328,D528,D521,D69,D19,D117,D579,D29,D237,D478,D144,D260,D191,D663,D390,D130,D503,D657,D450,D410,D313,D167,D524,D165,D454,D276,D274,D510,D9,D127,D288,D699,D483,D658,D280,D406,D217,D486,D121,D706,D364,D2,D548,D296,D338,D576,D170,D378,D404,D462,D183,D613,D594,D422,D563,D710,D379,D485,D380,D339,D633,D632,D395,D661,D721,D399,D1,D86,D456,D39,D604,D468,D550,D564,D300,D672,D155,D474,D311,D553,D464,D682,D601,D6,D651,D221,D586,D112,D393,D697,D7,D343,D544,D600,D554,D507,D541,D556,D233,D387,D351,D488,D552,D255,D639,D719,D671,D60,D22,D324,D205,D352,D397,D161,D199,D511,D596,D174,D508,D271,D580,D241,D647,D421,D466,D330,D125,D418,D297,D333,D256,D317,D412,D646,D27,D439,D84,D152,D291,D150,D17,D203,D716,D526,D93,D310,D252,D664,D517,D295,D334,D302,D222,D567,D455,D678,D674,D95,D555,D516,D104,D37,D192,D619,D382,D231,D303,D163,D371,D595,D720,D471,D30,D234,D48,D581,D137,D686,D542,D118,D124,D709,D13,D634,D461,D405,D383,D322,D153,D267,D160,D401,D608,D429,D618,D469,D283,D45,D551,D660,D11,D428,D171,D591,D361,D239,D546,D44,D425,D316,D443,D522,D36,D525,D648,D637,D424,D502,D683,D129,D574,D602,D21,D413,D40,D68,D626,D565,D622,D388,D270,D312,D482,D420,D402,D376,D572,D435,D537,D215,D225,D91,D285,D142,D342,D690,D212,D447,D500,D694,D279,D28,D229,D289,D370,D299,D145,D347,D722,D273,D656,D209,D164,D561,D8,D286,D570,D46,D177,D423,D10,D465,D81,D560,D243,D504,D692,D16,D362,D25,D453,D208,D123,D676,D92,D14,D228,D262,D718,D216,D226,D512,D368,D702,D52,D139,D490,D436,D194,D698,D341,D685,D101,D108,D80,D426,D78,D193,D467,D636,D187,D198,D635,D533,D58,D652,D713,D707,D505,D549,D73,D691,D444,D76,D650,D662,D354,D102,D559,D575,D360,D605,D616,D355,D251,D499,D407,D400,D372,D414,D99,D180,D106,D204,D3,D693,D366,D603";"SK9822_2020";722;"SK9822";;;
2;"Q4,Q3,Q1,Q2";"DFN8_5X6";4;"AON6411";;;
3;"C74,C17,C66,C42,C15,C37,C2,C84,C78,C43,C27,C49,C18,C12,C51,C121,C26,C59,C34,C75,C32,C114,C65,C10,C55,C38,C77,C30,C4,C116,C54,C67,C28,C35,C39,C82,C9,C64,C131,C46,C113,C124,C62,C91,C5,C76,C53,C126,C25,C48,C132,C93,C129,C104,C23,C69,C88,C16,C72,C89,C44,C73,C14,C128,C8,C22,C101,C70,C29,C33,C99,C7,C87,C80,C52,C61,C115,C68,C119,C50,C13,C41,C24,C3,C19,C20,C21,C95,C137,C36,C40,C118,C56,C6,C97,C57,C120,C45,C58,C31,C47,C71,C1,C117,C11,C63,C60";"C_0402";107;"100nF";;;
4;"Q5,Q6";"DFN8_5X6";2;"AON6414A";;;
5;"C96,C94,C134,C125,C85,C98,C135,C123,C92,C90,C100,C127";"C_0603";12;"10uF";;;
6;"R8,R27,R2,R21,R29,R46,R48,R25,R15,R14,R26,R23,R39,R5,R7";"R_0402";15;"10K";;;
7;"C83";"C_0402";1;"470pF";;;
8;"CN3";"SM04B_SRSS_TB";1;"SM04B_SRSS_TB";;;
9;"CN1";"1702473";1;"1702473";;;
10;"D724,D728,D723,D725";"LED_0603";4;"GREEN";;;
11;"R33,R12,R49,R50,R13,R35,R9";"R_0402";7;"1K";;;
12;"R28";"R_0402";1;"73K2";;;
13;"R10";"R_0402";1;"500R";;;
14;"R18,R17,R16";"R_0402";3;"330R";;;
15;"D729";"LRTB_R48G";1;"LRTB_R48G";;;
16;"C107,C108,C86,C111,C110,C112,C109,C105,C106";"C_2220";9;"22uF";;;
17;"U1,U3";"SOIC_154mil";2;"TMCS1108A4";;;
18;"C138,C139";"C_0402";2;"10nF";;;
19;"C81,C79";"C_0402";2;"2u2F";;;
20;"R24";"R_0402";1;"220R";;;
21;"U11,U12";"DFN_16_5X4_EP";2;"LTC4376HDHD";;;
22;"D727,D726,D731";"DO220AA";3;"SS1P3L";;;
23;"CN2";"SM06B_SRSS_TB";1;"SM06B_SRSS_TB";;;
24;"R19,R20,R38";"R_0402";3;"4K7";;;
25;"R37";"R_0402";1;"22K";;;
26;"H2,H1,H3,H4";"MountingHole_2mm";4;"MountingHole";;;
27;"R32";"R_0402";1;"470R";;;
28;"C136,C130,C133";"C_0603";3;"1uF";;;
29;"D735,D737";"DO_214AC";2;"SMAJ24A";;;
30;"R30,R31";"R_0402";2;"510K";;;
31;"D730";"QFN1610";1;"ESDA25P35-1U1M";;;
32;"R34,R6,R41,R44,R43";"R_0402";5;"100K";;;
33;"C103,C102";"C_0402";2;"22pF";;;
34;"R45,R47";"R_0402";2;"10R";;;
35;"FB2,FB1";"L_0603";2;"220Ω 100MHz";;;
36;"D734,D736";"DO_214AC";2;"SMAJ40A";;;
37;"D732,D733";"SOT_323";2;"ESDA25W";;;
